# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000400   ---        --------
               6   N   00000400   0000e101   00000404   x10_a0     00000000
               7   N   00000404   00004e01   00000406   ---        --------
               8   N   00000406   00000297   00000408   x28_t3     00000000
               9   N   00000408   df828293   0000040c   x05_t0     00000408
              10   N   0000040c   30529073   00000410   x05_t0     00000200
              11   N   00000410   00004505   00000414   ---        --------
              12   N   00000414   0000057e   00000416   x10_a0     00000001
              13   N   00000416   00054863   00000418   x10_a0     80000000
              14   N   00000418   0ff0000f   00000428   ---        --------
              17   N   00000428   00028f63   0000042c   x05_t0     00000000
              18   N   0000042c   10529073   0000044a   ---        --------
              22   N   0000044a   00006509   0000044e   ---        --------
              23   N   0000044e   00006509   0000044e   ---        --------
              24   N   0000044e   80050513   00000450   x10_a0     00002000
              25   N   00000450   30052073   00000454   x10_a0     00001800
              26   N   00000454   00000297   00000458   ---        --------
              27   N   00000458   00000297   00000458   ---        --------
              28   N   00000458   0b028293   0000045c   x05_t0     00000458
              29   N   0000045c   34129073   00000460   x05_t0     00000508
              30   N   00000460   f1402573   00000464   ---        --------
              31   N   00000464   30200073   00000468   x10_a0     00000000
              33   N   00000468   00000000   00000508   ---        --------
              36   N   00000508   00000000   0000050c   x28_t3     00000002
              37   E   0000050c   00000000   00000200   mstatus    00001800
              37   E   0000050c   00000000   00000200   mepc       0000050c
              37   E   0000050c   00000000   00000200   mcause     00000002
              37   E   0000050c   00000000   00000200   mtval      00000000
              40   N   00000200   000047a1   00000204   x14_a4     00000002
              41   N   00000204   04f70263   00000206   x15_a5     00000008
              42   N   00000206   000047a5   0000020a   ---        --------
              43   N   0000020a   02f70f63   0000020c   x15_a5     00000009
              44   N   0000020c   000047ad   00000210   ---        --------
              45   N   00000210   02f70c63   00000212   x15_a5     0000000b
              46   N   00000212   47ad0837   00000216   ---        --------
              48   N   00000216   02f70897   0000021a   x16_a6     f0000000
              50   N   0000021a   f0008893   0000021e   x17_a7     0000021a
              52   N   0000021e   00008783   00000222   x17_a7     00000500
              55   N   00000222   0000c791   00000226   x15_a5     00000069
              56   N   00000226   00f82023   00000228   ---        --------
              58   N   00000228   00000885   0000022c   ---        --------
              59   N   0000022c   ff5ff06f   0000022e   x17_a7     00000501
              60   N   0000022e   08850717   00000222   ---        --------
              65   N   00000222   0000c791   00000226   x15_a5     0000006c
              66   N   00000226   00f82023   00000228   ---        --------
              68   N   00000228   00000885   0000022c   ---        --------
              69   N   0000022c   ff5ff06f   0000022e   x17_a7     00000502
              70   N   0000022e   08850717   00000222   ---        --------
              75   N   00000222   0000c791   00000226   x15_a5     0000006c
              76   N   00000226   00f82023   00000228   ---        --------
              78   N   00000228   00000885   0000022c   ---        --------
              79   N   0000022c   ff5ff06f   0000022e   x17_a7     00000503
              80   N   0000022e   08850717   00000222   ---        --------
              85   N   00000222   0000c791   00000226   x15_a5     00000065
              86   N   00000226   00f82023   00000228   ---        --------
              88   N   00000228   00000885   0000022c   ---        --------
              89   N   0000022c   ff5ff06f   0000022e   x17_a7     00000504
              90   N   0000022e   08850717   00000222   ---        --------
              95   N   00000222   0000c791   00000226   x15_a5     00000067
              96   N   00000226   00f82023   00000228   ---        --------
              98   N   00000228   00000885   0000022c   ---        --------
              99   N   0000022c   ff5ff06f   0000022e   x17_a7     00000505
             100   N   0000022e   08850717   00000222   ---        --------
             105   N   00000222   0000c791   00000226   x15_a5     00000061
             106   N   00000226   00f82023   00000228   ---        --------
             108   N   00000228   00000885   0000022c   ---        --------
             109   N   0000022c   ff5ff06f   0000022e   x17_a7     00000506
             110   N   0000022e   08850717   00000222   ---        --------
             115   N   00000222   0000c791   00000226   x15_a5     0000006c
             116   N   00000226   00f82023   00000228   ---        --------
             118   N   00000228   00000885   0000022c   ---        --------
             119   N   0000022c   ff5ff06f   0000022e   x17_a7     00000507
             120   N   0000022e   08850717   00000222   ---        --------
             125   N   00000222   0000c791   00000226   x15_a5     00000000
             126   N   00000226   00f82023   00000232   ---        --------
             130   N   00000232   20230713   00000236   x14_a4     00000232
             132   N   00000236   0000c311   0000023a   x14_a4     00000700
             133   N   0000023a   00008702   0000023c   ---        --------
             134   N   0000023c   34202773   00000700   ---        --------
             137   N   00000700   e5dff06f   00000740   ---        --------
             140   N   00000740   342022f3   00000744   x06_t1     00000002
             141   N   00000744   ea629ee3   00000748   x05_t0     00000002
             142   N   00000748   341022f3   0000074c   ---        --------
             143   N   0000074c   343023f3   00000750   x05_t0     0000050c
             144   N   00000750   00038e63   00000754   x07_t2     00000000
             145   N   00000754   0002d303   00000770   ---        --------
             148   N   00000770   d9c30313   00000774   x06_t1     00000770
